id	item_number	name
0089CDF2BD3C44288B9646A88EC10A54	V001	Rear Derailleur
029AFC2B634246F7A7F1D33EEB45945F	V002	Seat Assembly
0AFCA8613A7D459DB1076F950F88717E	V003	Wheel System
0D7483BFDFF04295A7791AE49ED09B78	V004	Frame
12213A28901844C49CC05AD755D5A743	V005	Tire
1B1D7C94A6D14F8F856E7675FB3573AD	V006	Crankset
1BC64B0F12A9472481A3FE9F51BC4EB6	V007	Brake Assembly
21884B7AF7D5474EB070CF1188780D9E	V008	Seatpost
39FC0A35469A4ED2BD3415041D47AFEA	V009	Bottom Bracket
441C39D9CBFC4B6FB9FB2A7FA96B8354	V010	Wheelset
45BF68FC62DF4F9195424E118AA778F1	V011	Handlebar Assembly
534B0B2819BD48D58E133D39E6BC596C	V012	Bicycle
53F3A173347E4631B71DD06BFCD38627	V013	Handlebar
5DE8CE660820479FBF56661FFE2D5B4A	V014	Frame Assembly
64192E41866B47E1BC8C2CE2536C2B2A	V015	Rear Cassette
7EEBCAD7FCD54276A6FA940BE6741978	V016	Transmission
807F7931F4F6480B9B3769BFF4C88140	V017	Stem
9228C7C6FFEB4FF59573D6FB3296C4A0	V018	Rear Shocks
B228F26B718240CF85444BAFDDE32B74	V019	Brake
BE7F7C69DD2842519D71D3C3E840E20E	V020	Brake Lever
BF4381DE8E8245B69C3C066C1ACFA297	V021	Saddle
D4BA81DFFE434B36B25BD7987FD2D88F	V022	Pedals
E2950013655D4C01A8F69E95227EC7AC	V023	Shifter
E3176371FF2343F3B604AA0435AE039A	V024	Control
EC150EE12CA24D5FAC2BE319DD620603	V025	Chain
F45D3BB1BC5D46AEBE9C6E2D65887DFF	V026	Fork
