id	item_number	name
00C7C877F0E945EE817314F8712AA7E4	F001	Bicycle Size
135FC145CCD24E289B799A293A996B9B	F002	Handlebar Type
137AB4D5A3884BEF9751738E9D6E6B6A	F003	Chainring Setup
199DC979D2874964BDA9871CBA809E2D	F004	Derailleur Material
2348FEDB34DE42D3B7A70F17C0DBB36F	F005	Frame Size
282D35D4D4DD4488B6C79675050E76B9	F006	Rim Width
2D9B7374C64243E48AFE004098CD0193	F007	Shocks
3141940FEE594ECBB8D0F5654267E499	F008	Tire Width
320A1CE40FB94E9C92896DB523BE78CD	F009	Fork Material
33D9D7931CD3413B8FBED7C380112BB6	F010	Stem Length
413F3E8FC699482F915CD089CB730477	F011	Cage Length
4DC3046AB23E4037992F358799F88758	F012	Internal Rim Depth
53005649877549C0BAEC58960AA0FAF8	F013	Bicycle Type
6366853A7D5248179A8EB8FB32815565	F014	Rim Size
69DA5886930344E2A684F270C0BB21B9	F015	Frame Material
785B653D5FCB4EFAA22233667DFADB61	F016	Seatpost Material
7D3BD5DC755846C68BD228F4F14B5E18	F017	Travel
835C3DE1411B459AB975C9ABF2F46739	F018	Bottom Bracket Width
8908A56668DE4A9E8EA31389ACDD73C7	F019	Frame Color
8ACC8129718F487EAAA2ADDB15408CFB	F020	Brake Type
A21583C25A2140B8AFEA05CCAC47FF7C	F021	Bottom Bracket Type
AB33ADB780C04772B27FFB197021CDFD	F022	Cogs Combinations
B253CC97FEFF45F6B5E086FBB323AB53	F023	Crankset Material
BCFEACD2D00D4E6C8560B20BE2E34D34	F024	Brake Lever Type
D5106EFD56AE4CC1B6DE9EC9879DDC9B	F025	Speed
D81D79596246475BBCC86A8E6C11F20F	F026	Tire Size
D9DA735CE7B54AA79A71646334CD3D48	F027	Crankarm Length
D9DB024B9D7B4D91BA9A0636ED55B86D	F028	Handlebar Width
EAD8CFDF9E794159AEEE3702498FFBFE	F029	Seatpost Suspension
F35D72593E9646A4B7C4DAA0A03283F8	F030	Saddle Material
F80A41BC231846A5BE8D9A085048A769	F031	Pedal Type
F8A8C23F55164844BABDD49C07AA0580	F032	Stem Material
