id	item_number	name
0078DBF1452C4CD8B879E32F9972F1DC	0001	Carbon
084C96CB0A224188B19429E5F062DF0E	0002	15.7 inches
08BB4B2BB857488DB2921EA237FA374D	0003	Carbon Fiber
091A33FB246B426F913B09B4B0D4D08F	0004	Short
0B969B5BBFDA4B8C8707D12EC7E06C32	0005	Drop Bar
0CF1FDAE3A054376AC13BCFDDBBEC0E6	0006	25c
0E53DE3ADA99459E889C820D4FC55CC8	0007	11-42
0ED4F9F6B72C4DC1931B92135F5E17A6	0008	21 inches
0F2F8143D20F40A3AD09ADD411CE641E	0009	Off-Road Clipless Pedal
15E9147D35FB4DA2BE309AEE50BC7D02	0011	26 inches
179EBF2BF1154BABA955983453B889E5	0012	150-170mm
1A0E18DB32A64A549AD9E4788FD00B04	0013	11-34
1A467A45748F4F76ACF49A393B1F8DFC	0014	28c
1B94DC41EDC24A36811DF11E54C8AE21	0015	Carbon Fiber
1C3ADF1FFD854BC2ABB084EDE61FE1CD	0016	6/7/8-Speed
1DAF744110D14BFB81F05FB03942544E	0017	Knobby
24D89FDD6AEF4F5D8E48FED4DBCC77D5	0018	Silver
270DD95FB74C4673ADE624D3BCC74C06	0019	No Suspension
27E14C456243465CAF80EE47F5D94AA9	0020	53.5cm
2910C62A753C406EA7283E7502853B87	0021	3.9 inches
29AC9A2391AD41E5A120F94C86586939	0022	23c
2B5EC81A5CA2405EAF801C0492E95316	0023	Flat Bar
2D4ADBD9709C467F8AD29CD359279FAB	0024	50cm
2E87E7944B1D42C09862285354CBF12F	0025	Cantilever Brake
2EEB8648D04C4D85A95F46D65B36BE5F	0026	Mountain Bike
30548FF262994EEBBCFB2BA7C2B02853	0027	11-28
30D5C2027A6B46F885A0CED29589C6E9	0028	Carbon Fiber
3110F1E658AB4A6BBC20489CDF82C80F	0029	Flat Pedal
31256E112BC44C89A77D4A588234CAA0	0030	Triple
3307818124184239A5E19F5EF624CFC4	0031	3.9 inches
33DF2BF35E7C480992AE37EFC4E44A7B	0032	Hydraulic Disc Brake Lever
39EE269EBE6546EE958B0DB310FCCB6D	0033	14 inches
3CF6B5E26CBB49C9B30AE362DDFF9BEF	0034	Carbon Fiber
3E847788607540F390A93FB0D6C75261	0035	Titanium
3E86CD78FABE434993F4AB2B1EC2C570	0036	2 inches
4539A63A04F64316A6DEE59C5D63248B	0037	Semi-compact
45E9CDE9E036474DB967E41AA5A191AD	0038	Stainless Steel
4931231183C5406EB73AB71CDA00574D	0039	180-210mm
494928E8BEE54C4F8BB377776D541CA6	0040	Threaded
49CF6FDC6CFF4FA1A6A4DD9502821C9E	0041	Standard
4D7BEE766472476BA345B4FB2B3EAFBE	0042	11-30
4FC280B8F3794DF98FFB9BF1E40A5D88	0043	11-40
50463E9340ED4599B42B3DD83FC92C10	0044	27.5 inches
52BA807AC66545C68AF39E73EDEA0089	0045	26 inches
59D5049777F24163BBBA030EB0C5D172	0046	Carbon
5AC5C5429C93497D958E9F1357423FBE	0047	4.3 inches
5B82088622BB4A5B8A2EC6DEDCB77D64	0048	No Shocks
5C916EBF76494F089FF901AAE2DCD355	0049	28c
5D5CF2A579A843798A7C77610C52FAA7	0050	46.5cm
5E15CE8DA4F2488F8F973EC7AF9A9886	0051	Steel
62343919C2CB4C6D93E26A09CC51A427	0052	2.3 inches
63E54EDD946E4D42B66B22031872EDE0	0053	16mm
6570C32CF86C407F9F69B4806EA447EE	0054	No Travel
6AC30EAC60FE45C0A929DE61E4BA03E6	0055	58.5cm
6CD77033AFF14CDEAB73C83FB6FD5D78	0056	25c
6D433897A17E44408D6CE1AED0396EDF	0057	Road Bike
76DF8C8078804F4F9F46379F2FE06AE6	0058	24mm
7751C77C9F8B488F81EA988048D12A94	0059	27.5 inches
794E7FEC14A44ED99D1DACEE0E804BA6	0060	Large
7DDC5F7FBE2244E1B88F0C06CF277543	0061	Sub-compact
