id	name	permission_id		
0078DBF1452C4CD8B879E32F9972F1DC	Carbon	5BE54C871FB14F6EBC11596D1A010D26		
084C96CB0A224188B19429E5F062DF0E	15.7 inches	5BE54C871FB14F6EBC11596D1A010D26		
08BB4B2BB857488DB2921EA237FA374D	Carbon Fiber	5BE54C871FB14F6EBC11596D1A010D26		
091A33FB246B426F913B09B4B0D4D08F	Short	5BE54C871FB14F6EBC11596D1A010D26		
0B969B5BBFDA4B8C8707D12EC7E06C32	Drop Bar	5BE54C871FB14F6EBC11596D1A010D26		
0CF1FDAE3A054376AC13BCFDDBBEC0E6	25c	5BE54C871FB14F6EBC11596D1A010D26		
0E53DE3ADA99459E889C820D4FC55CC8	11-42	5BE54C871FB14F6EBC11596D1A010D26		
0ED4F9F6B72C4DC1931B92135F5E17A6	21 inches	5BE54C871FB14F6EBC11596D1A010D26		
0F2F8143D20F40A3AD09ADD411CE641E	Off-Road Clipless Pedal	5BE54C871FB14F6EBC11596D1A010D26		
0FAAC49E06DA470FA4E1839D930CE912	11-42	5BE54C871FB14F6EBC11596D1A010D26		
15E9147D35FB4DA2BE309AEE50BC7D02	26 inches	5BE54C871FB14F6EBC11596D1A010D26		
179EBF2BF1154BABA955983453B889E5	150-170mm	5BE54C871FB14F6EBC11596D1A010D26		
1A0E18DB32A64A549AD9E4788FD00B04	11-34	5BE54C871FB14F6EBC11596D1A010D26		
1A467A45748F4F76ACF49A393B1F8DFC	28c	5BE54C871FB14F6EBC11596D1A010D26		
1B94DC41EDC24A36811DF11E54C8AE21	Carbon Fiber	5BE54C871FB14F6EBC11596D1A010D26		
1C3ADF1FFD854BC2ABB084EDE61FE1CD	6/7/8-Speed	5BE54C871FB14F6EBC11596D1A010D26		
1DAF744110D14BFB81F05FB03942544E	Knobby	5BE54C871FB14F6EBC11596D1A010D26		
24D89FDD6AEF4F5D8E48FED4DBCC77D5	Silver	5BE54C871FB14F6EBC11596D1A010D26		
270DD95FB74C4673ADE624D3BCC74C06	No Suspension	5BE54C871FB14F6EBC11596D1A010D26		
27E14C456243465CAF80EE47F5D94AA9	53.5cm	5BE54C871FB14F6EBC11596D1A010D26		
2910C62A753C406EA7283E7502853B87	3.9 inches	5BE54C871FB14F6EBC11596D1A010D26		
29AC9A2391AD41E5A120F94C86586939	23c	5BE54C871FB14F6EBC11596D1A010D26		
2B5EC81A5CA2405EAF801C0492E95316	Flat Bar	5BE54C871FB14F6EBC11596D1A010D26		
2D4ADBD9709C467F8AD29CD359279FAB	50cm	5BE54C871FB14F6EBC11596D1A010D26		
2E87E7944B1D42C09862285354CBF12F	Cantilever Brake	5BE54C871FB14F6EBC11596D1A010D26		
2EEB8648D04C4D85A95F46D65B36BE5F	Mountain Bike	5BE54C871FB14F6EBC11596D1A010D26		
30548FF262994EEBBCFB2BA7C2B02853	11-28	5BE54C871FB14F6EBC11596D1A010D26		
30D5C2027A6B46F885A0CED29589C6E9	Carbon Fiber	5BE54C871FB14F6EBC11596D1A010D26		
3110F1E658AB4A6BBC20489CDF82C80F	Flat Pedal	5BE54C871FB14F6EBC11596D1A010D26		
31256E112BC44C89A77D4A588234CAA0	Triple	5BE54C871FB14F6EBC11596D1A010D26		
