id	item_number	definition	string_notation	description
0170E14D592747EDBD16548FDC824196	00000353	<expression><IMPLICATION><CONDITION><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="6D433897A17E44408D6CE1AED0396EDF"></named-constant></EQ></CONDITION><CONSEQUENCE><AND><EQ><variable id="A21583C25A2140B8AFEA05CCAC47FF7C"></variable><named-constant id="494928E8BEE54C4F8BB377776D541CA6"></named-constant></EQ><EQ><variable id="835C3DE1411B459AB975C9ABF2F46739"></variable><named-constant id="8BD0C007C2BF40139D6BA0DE5685A215"></named-constant></EQ></AND></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Road Bike] THEN [Bottom Bracket Type] = Threaded AND [Bottom Bracket Width] = 68mm	Road Bike Bottom Bracket
0338311299CA4E74807B2D699AB0945D	00000354	<expression><IMPLICATION><CONDITION><AND><EQ><variable id="135FC145CCD24E289B799A293A996B9B"></variable><named-constant id="0B969B5BBFDA4B8C8707D12EC7E06C32"></named-constant></EQ><OR><EQ><variable id="00C7C877F0E945EE817314F8712AA7E4"></variable><named-constant id="E1CCB25E1E0F48FDA603A990A5038A5E"></named-constant></EQ><EQ><variable id="00C7C877F0E945EE817314F8712AA7E4"></variable><named-constant id="794E7FEC14A44ED99D1DACEE0E804BA6"></named-constant></EQ></OR></AND></CONDITION><CONSEQUENCE><EQ><variable id="D9DB024B9D7B4D91BA9A0636ED55B86D"></variable><named-constant id="AF3103163AF5434AA9901ED6DE21876B"></named-constant></EQ></CONSEQUENCE></IMPLICATION></expression>	IF [Handlebar Type] = [Drop Bar] AND ([Bicycle Size] = Medium OR [Bicycle Size] = Large) THEN [Handlebar Width] = [16.5 inches]	Medium/Large Dropbar
0507AA99D91446EE9BD33C6EA1A1AFED	00000355	<expression><IMPLICATION><CONDITION><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="6D433897A17E44408D6CE1AED0396EDF"></named-constant></EQ></CONDITION><CONSEQUENCE><EQ><variable id="F80A41BC231846A5BE8D9A085048A769"></variable><named-constant id="AB98C4832A2444C7A55BCBA4C05E9B06"></named-constant></EQ></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Road Bike] THEN [Pedal Type] = [Road Clipless Pedal]	Road Bike Pedal
0B4CBB8E0F654D2B938EDD09DA73DF2E	00000356	<expression><IMPLICATION><CONDITION><AND><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="6D433897A17E44408D6CE1AED0396EDF"></named-constant></EQ><EQ><variable id="00C7C877F0E945EE817314F8712AA7E4"></variable><named-constant id="E1CCB25E1E0F48FDA603A990A5038A5E"></named-constant></EQ></AND></CONDITION><CONSEQUENCE><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="2D4ADBD9709C467F8AD29CD359279FAB"></named-constant></EQ></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Road Bike] AND [Bicycle Size] = Medium THEN [Frame Size] = 50cm	Road Bike Medium Frame
1043107B8C72458A88696AE7F52E8FE5	00000357	<expression><IMPLICATION><CONDITION><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="6D433897A17E44408D6CE1AED0396EDF"></named-constant></EQ></CONDITION><CONSEQUENCE><AND><EQ><variable id="8ACC8129718F487EAAA2ADDB15408CFB"></variable><named-constant id="2E87E7944B1D42C09862285354CBF12F"></named-constant></EQ><EQ><variable id="BCFEACD2D00D4E6C8560B20BE2E34D34"></variable><named-constant id="848C6DE78E3A4F92BB2006E7F5F07192"></named-constant></EQ></AND></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Road Bike] THEN [Brake Type] = [Cantilever Brake] AND [Brake Lever Type] = [Cantilever Brake Lever]	Road Bike Brakes
15B4877C17854B6BB10E52584F9236E3	00000358	<expression><IMPLICATION><CONDITION><AND><OR><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="2EEB8648D04C4D85A95F46D65B36BE5F"></named-constant></EQ><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="BB931A8CE66D4757B52A98B47EFAC364"></named-constant></EQ></OR><EQ><variable id="00C7C877F0E945EE817314F8712AA7E4"></variable><named-constant id="F12FBDB21FCD4D3CAB1C66417DAA9E86"></named-constant></EQ></AND></CONDITION><CONSEQUENCE><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="F7074143B2E14E85ABB1A9EE5B651F6E"></named-constant></EQ></CONSEQUENCE></IMPLICATION></expression>	IF ([Bicycle Type] = [Mountain Bike] OR [Bicycle Type] = [Fat Bike]) AND [Bicycle Size] = [X-Large] THEN [Frame Size] = [23 inches]	Mtn/Fat Bike X-Large Frame
15C43218B133463BA82569B63FBD49EF	00000359	<expression><IMPLICATION><CONDITION><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="6D433897A17E44408D6CE1AED0396EDF"></named-constant></EQ></CONDITION><CONSEQUENCE><OR><EQ><variable id="8908A56668DE4A9E8EA31389ACDD73C7"></variable><named-constant id="A9A5A06642F3434B8C8BA0006EAC7E19"></named-constant></EQ><EQ><variable id="8908A56668DE4A9E8EA31389ACDD73C7"></variable><named-constant id="E463F90850B54BA28546E061ACB0683A"></named-constant></EQ><EQ><variable id="8908A56668DE4A9E8EA31389ACDD73C7"></variable><named-constant id="24D89FDD6AEF4F5D8E48FED4DBCC77D5"></named-constant></EQ><EQ><variable id="8908A56668DE4A9E8EA31389ACDD73C7"></variable><named-constant id="C4CF804DFF03421F97362CD4A592F7E4"></named-constant></EQ><EQ><variable id="8908A56668DE4A9E8EA31389ACDD73C7"></variable><named-constant id="87F9EB4D28904C1CB17A86A39AE66835"></named-constant></EQ><EQ><variable id="8908A56668DE4A9E8EA31389ACDD73C7"></variable><named-constant id="CEC3D9D7CDF14EB59A9060339F623878"></named-constant></EQ></OR></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Road Bike] THEN [Frame Color] = Red OR [Frame Color] = Orange OR [Frame Color] = Silver OR [Frame Color] = [Matte Black] OR [Frame Color] = [Black/Yellow] OR [Frame Color] = [Glossy Black]	Road Bike Frame Colors
1CCC801B923F40788CFE24169312AEB4	00000360	<expression><IMPLICATION><CONDITION><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="2EEB8648D04C4D85A95F46D65B36BE5F"></named-constant></EQ></CONDITION><CONSEQUENCE><AND><EQ><variable id="A21583C25A2140B8AFEA05CCAC47FF7C"></variable><named-constant id="82FE7F47E39F4628A2DB8F2C53AAB3AD"></named-constant></EQ><EQ><variable id="835C3DE1411B459AB975C9ABF2F46739"></variable><named-constant id="88CD6559FF5E48A4BC2D02D80A8204D0"></named-constant></EQ></AND></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Mountain Bike] THEN [Bottom Bracket Type] = [Non-Threaded] AND [Bottom Bracket Width] = 73mm	Mountain Bike Bottom Bracket
1D345EB4F3AB4A9C8579010087477074	00000361	<expression><IMPLICATION><CONDITION><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="BB931A8CE66D4757B52A98B47EFAC364"></named-constant></EQ></CONDITION><CONSEQUENCE><AND><EQ><variable id="785B653D5FCB4EFAA22233667DFADB61"></variable><named-constant id="E8CC4C9A1F8D401183D6B64B4F94177C"></named-constant></EQ><EQ><variable id="EAD8CFDF9E794159AEEE3702498FFBFE"></variable><named-constant id="C545A3F992FC49DD889993240F2A2AE9"></named-constant></EQ><EQ><variable id="F35D72593E9646A4B7C4DAA0A03283F8"></variable><named-constant id="A31A5022A60746CDAD154E583C5EEBDC"></named-constant></EQ></AND></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Fat Bike] THEN [Seatpost Material] = Aluminum AND [Seatpost Suspension] = [Mechanical Suspension] AND [Saddle Material] = Nylon	Fat Bike Seat
1DD744BD65714F8481D4065D0CF5C6BA	00000362	<expression><IMPLICATION><CONDITION><AND><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="6D433897A17E44408D6CE1AED0396EDF"></named-constant></EQ><EQ><variable id="00C7C877F0E945EE817314F8712AA7E4"></variable><named-constant id="CC195BCDCA914E9280EB6DEE8413C65A"></named-constant></EQ></AND></CONDITION><CONSEQUENCE><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="5D5CF2A579A843798A7C77610C52FAA7"></named-constant></EQ></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Road Bike] AND [Bicycle Size] = Small THEN [Frame Size] = [46.5cm]	Road Bike Small Frame
