id	item_number	name	classification	make_buy
0009BBFA4FAB43498F9DB0BA11916F77	FR-6576	Glossy Black 42 cm Aluminum Alloy Frame	Assembly	Buy
00EEB4BEB91A4276B29D57B196BE6841	MAW	Matric Allen Wrench	Component	Make
015E7C5F62A94502AC382DCD62B6B88D	RM-2023	M1900 Spline 27mm rim - 26"	Component	Buy
03DFFF5A304144BDBFEB3AF79EEA61B6	SLCMP-0001	1 1/8" Steerer Clamp	Component	Make
058F756E084A49969C3EBDEA2E98B3A7	CA-9316	175mm Aluminum Alloy Turbine CINCH Crankarm	Component	Buy
07E0A04DBDA14064BBE265C37F8ADDE4	FR-3189	Yellow Black 23 inch cm Titanium Frame	Assembly	Buy
088498B840B44BEAA79227E3758FF77B	WS-7050	Mountain Bike 27.5" Wheelset	Assembly	Make
08DA7C5D37964B74B7D35FF1A5320C8B	STM-6005	EA90 Aluminum 4.3" Stem	Assembly	Make
0A688BDE74AF4082AD59B2971386DD87	FR-5532	Glossy Black 23 inch cm Carbon Fibre Frame	Assembly	Buy
0CA7C8ACB7AB4A669F1237637AF334AE	FR-1251	Red 50 cm Aluminum Alloy Frame	Assembly	Buy
0DF9E3AC455E486DA064624F73D0CB54	FR-1565	Yellow Black 46.5 cm Carbon Fibre Frame	Assembly	Buy
0E023F5BC444433EAF3691783F838739	FR-6274	Glossy Black 19 inch cm Carbon Fibre Frame	Assembly	Buy
0EBFC28554AA4883AC9EBFE1F3A12BF0	FR-1445	Matte Black 55.5 cm Aluminum Alloy Frame	Assembly	Buy
0F792BD3DDC1470BB07F3E83329C1297	CS-1115	11-40 Nickel-Plated Casette	Assembly	Buy
0F7A9D1A9E3A42DCAF0A064527137C76	FR-3683	Red 14 inch cm Titanium Frame	Assembly	Buy
0F988173E012417B97C339C7153A6385	WS-8827	Mountain Bike 29" Wheelset	Assembly	Make
10524C84ECD04268A97E2DC8783818FC	FR-2375	Silver 58.5 cm Carbon Fibre Frame	Assembly	Buy
1232C733AFCC48ACB4F7DD74CDE876DB	PD-9506	SPD-SL Clipless Road Pedals	Component	Buy
140EE5F31CBB4E8D9F7F660767A0808A	FR-4673	Red 50 cm Carbon Fibre Frame	Assembly	Buy
14BDC18EE99A42EFA8683A2535675F0D	FR-7826	Matte Black 46.5 cm Aluminum Alloy Frame	Assembly	Buy
151A8C70F77942AF96414D0EBC64DAD0	FR-1768	Yellow Black 55.5 cm Carbon Fibre Frame	Assembly	Buy
16F137889C1C45BAAC2A86AF2B16BBB8	RD-2361	Aluminum 11-Speed Long Rear Derailleur	Assembly	Buy
189BA14FCE464D2BAAF5A3E4D0C21FFF	BB-9092	Non-Threaded 73mm Bottom Bracket	Component	Buy
1AEDAF334C14488584A7CDD7A4595BBD	BR-4069	SLX Hydraulic Disc Brake	Assembly	Buy
1DC718E89EA24F769A88EFEC38224418	FR-4856	Orange 42 cm Aluminum Alloy Frame	Assembly	Buy
1F24CD0E46564F2EA6AC5FC341B5ECB4	HB-6751	CL-25 rear disc hub	Component	Buy
1F502042B9904169A41413EA8677D02F	FR-7160	Glossy Black 17 inch cm Titanium Frame	Assembly	Buy
1FEB1BFD47D7463081CD0EB9AFB59663	FR-6649	Silver 50 cm Aluminum Alloy Frame	Assembly	Buy
22DBC25381014936A879BFA603CF59C0	FR-7254	Glossy Black 17 inch cm Carbon Fibre Frame	Assembly	Buy
24683BD8BD8F4AE4A46A1E87D1330AD6	RD-2363	Carbon Fiber 11-Speed Long Rear Derailleur	Assembly	Buy
27C28F7B24E543F7A99426A0A75C5838	HB-6571	DHL-92 rear disc hub	Component	Buy
28D1C5F7BC104A5189FC86FF06EFEF57	FR-2101	Yellow Black 42 cm Aluminum Alloy Frame	Assembly	Buy
29063B9CB0644ACCAA33DA968923A4FE	CS-1048	170mm 11-Speed Carbon Fiber Standard Chainring Crankset	Assembly	Make
29FE8577511844379D872587A34235AA	FR-5748	Yellow Black 21 inch cm Carbon Fibre Frame	Assembly	Buy
2A7FF84033D34D86921A66CE1EAD5AD9	HB-1623	17.3" Aluminum Drop Bar	Component	Buy
2AC146D341A64191A079926676459C41	FR-2371	Matte Black 53.5 cm Aluminum Alloy Frame	Assembly	Buy
2E5B39456E9F43918329A1B328135103	FR-7311	Matte Black 58.5 cm Carbon Fibre Frame	Assembly	Buy
2E67E8E855954ED5989B35724471CD14	CS-3250	11-32 Nickel-Plated Casette	Assembly	Buy
2FEE996204FE4E18AAEB830752E70030	FR-1304	Orange 58.5 cm Aluminum Alloy Frame	Assembly	Buy
2FF33FD27FE046C993B5DBC70BA65C9A	FR-5936	Silver 53.5 cm Carbon Fibre Frame	Assembly	Buy
30613501D87A4AE48E1850C0082ABC9E	FR-8772	Red 46.5 cm Aluminum Alloy Frame	Assembly	Buy
31260D92299D40AE851F951588CC7BE5	CS-8261	175mm 11-Speed Aluminum Alloy Direct Mount Crankset	Assembly	Make
312C200F7F3A44D483BBB0D349470896	SHF-5877	X1 11-Speed Trigger Shifter	Assembly	Buy
32628D89A38C4E1D9B78D92ED910434C	FR-7762	Silver 46.5 cm Aluminum Alloy Frame	Assembly	Buy
34720EDA4D0E4BBDBE6CF63A404DB915	FR-6810	Glossy Black 14 inch cm Aluminum Alloy Frame	Assembly	Buy
34E7AF28666B43CAA2496018386B78FC	STM-9999	Stainless Steel 2" Stem	Assembly	Make
35412899C6144D1A881886F9892DB737	TB-6001	2.3" EA90 Aluminum Tubing	Component	Make
35E98F18672344B9B7E337CA6D62FEDD	FR-4074	Yellow Black 21 inch cm Titanium Frame	Assembly	Buy
365EDA7EE5484B45832391F04ACA2F5D	SP-7894	Stainless Black Spoke	Component	Buy
38BDC711B97349C6BC23667235E3839E	TB-6000	2" EA90 Aluminum Tubing	Component	Make
3C368713D84D43E5954B9CFE1363BC85	HB-7472	DHL-197 rear disc hub	Component	Buy
3C563B67F3F34AFAAF7BE5E35F41548E	FR-2213	Matte Black 55.5 cm Carbon Fibre Frame	Assembly	Buy
3DC1CA7A07704F7FA4C8363D5EB5B508	FR-6183	Red 42 cm Aluminum Alloy Frame	Assembly	Buy
3EF614AFAC0F4FE48E55CAEFE6DC68D0	FR-1669	Red 58.5 cm Carbon Fibre Frame	Assembly	Buy
3F05F588DCD34ADE9BABCA35239D79BA	PD-7528	Flat Steel Pedal	Component	Buy
421874A74C3241A7B9F1FD9B1DC4C95E	FR-6314	Yellow Black 17 inch cm Titanium Frame	Assembly	Buy
42C86F2604A04A79B4651CBF30559E17	FR-6855	Yellow Black 14 inch cm Titanium Frame	Assembly	Buy
436442045C1B45388A69BC27F7187342	FR-4991	Yellow Black 42 cm Carbon Fibre Frame	Assembly	Buy
43A0ABC038794A74A1285DA766356604	FR-6968	Matte Black 58.5 cm Aluminum Alloy Frame	Assembly	Buy
43E285438D3D42A18AE8117A366E56AC	CR-6578	X-GlideR 55T Chainring	Component	Buy
441953F8976E47488D267A25972777F8	RM-2025	M1900 Spline 27mm rim - 29"	Component	Buy
44ACD171F7AB49318F4AB8FA68315D4D	STM-6002	EA90 Aluminum 2.75" Stem	Assembly	Make
4557166B898E434299B290E9BEFCCAA0	CA-3191	170mm Aluminum Alloy Turbine CINCH Crankarm	Component	Buy
476EDA4D2FFB437F84A3877BDC9247A2	WS-2976	Fat Bike 26" Wheelset	Assembly	Make
48F54434337C4C3EAD592EA005BEECAD	FR-7506	Silver 53.5 cm Aluminum Alloy Frame	Assembly	Buy
4960092606464A0EBC2BC6FC94648540	FR-7349	Yellow Black 14 inch cm Carbon Fibre Frame	Assembly	Buy
496BE961C62D49C6B2C99FA4E9B5C9C5	HB-5455	SL-1240 front disc hub	Component	Buy
4A9AB9F87B2E4B20B9AF99700BEFD6D2	RS-6758	Mountain Bike Air Rear shock	Component	Make
4CC63567DA66471DAB29D5A9C4ABA25A	STM-6003	EA90 Aluminum 3.5" Stem	Assembly	Make
4D4EA30EBC0641E1A5BEDA655ACF3487	STM-6001	EA90 Aluminum 2.3" Stem	Assembly	Make
4E0092722788474E901D214F3FFCC012	SP-9866	Carbon Seatpost	Component	Buy
4E9FDB11D12E4CF58C75C1369CBE6965	FR-6288	Silver 58.5 cm Aluminum Alloy Frame	Assembly	Buy
4EBE1D869AAE4761929C66469AE97316	FR-4697	Glossy Black 55.5 cm Aluminum Alloy Frame	Assembly	Buy
4F56ECE324CF4CF1838079178B75D00E	CN-6734	9-Speed nickel-plated steel chain	Component	Buy
4FD95E6A218B40269995AFC3689C4F37	FR-4773	Red 58.5 cm Aluminum Alloy Frame	Assembly	Buy
51527649B7DC4BF285C00BF3A514FD66	FR-8788	Matte Black 42 cm Aluminum Alloy Frame	Assembly	Buy
526EF2C9A32C459083D8D47456DB3E23	FR-4696	Silver 55.5 cm Aluminum Alloy Frame	Assembly	Buy
5391EF7259D74533ADFBCEBDD8C78722	FR-6635	Glossy Black 23 inch cm Aluminum Alloy Frame	Assembly	Buy
54686CF797CB4581ABC6FC72DF3D43AB	CN-6732	11-Speed nickel-plated steel chain	Component	Buy
54AAE10BAD4B487190C33A5336383A93	FR-6521	Yellow Black 58.5 cm Carbon Fibre Frame	Assembly	Buy
55F331457A934694B32535071D83030A	FR-1934	Glossy Black 21 inch cm Aluminum Alloy Frame	Assembly	Buy
564367521A80417D8BA786744DD364BE	FR-1196	Yellow Black 23 inch cm Carbon Fibre Frame	Assembly	Buy
578E0413526A408582D1C64B0A6C3B45	CN-6733	10-Speed nickel-plated steel chain	Component	Buy
586A9BEE5D56457ABBE011B6D86183B4	FR-1170	Glossy Black 50 cm Carbon Fibre Frame	Assembly	Buy
