id	name	definition	source_id	related_id		
0170E14D592747EDBD16548FDC824196	Road Bike Bottom Bracket	&lt;expression&gt;&lt;IMPLICATION&gt;&lt;CONDITION&gt;&lt;EQ&gt;&lt;variable id="53005649877549C0BAEC58960AA0FAF8"&gt;&lt;/variable&gt;&lt;named-constant id="6D433897A17E44408D6CE1AED0396EDF"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/CONDITION&gt;&lt;CONSEQUENCE&gt;&lt;AND&gt;&lt;EQ&gt;&lt;variable id="A21583C25A2140B8AFEA05CCAC47FF7C"&gt;&lt;/variable&gt;&lt;named-constant id="494928E8BEE54C4F8BB377776D541CA6"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="835C3DE1411B459AB975C9ABF2F46739"&gt;&lt;/variable&gt;&lt;named-constant id="8BD0C007C2BF40139D6BA0DE5685A215"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/AND&gt;&lt;/CONSEQUENCE&gt;&lt;/IMPLICATION&gt;&lt;/expression&gt;	39FC0A35469A4ED2BD3415041D47AFEA			
0338311299CA4E74807B2D699AB0945D	Medium/Large Dropbar	&lt;expression&gt;&lt;IMPLICATION&gt;&lt;CONDITION&gt;&lt;AND&gt;&lt;EQ&gt;&lt;variable id="135FC145CCD24E289B799A293A996B9B"&gt;&lt;/variable&gt;&lt;named-constant id="0B969B5BBFDA4B8C8707D12EC7E06C32"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;OR&gt;&lt;EQ&gt;&lt;variable id="00C7C877F0E945EE817314F8712AA7E4"&gt;&lt;/variable&gt;&lt;named-constant id="E1CCB25E1E0F48FDA603A990A5038A5E"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="00C7C877F0E945EE817314F8712AA7E4"&gt;&lt;/variable&gt;&lt;named-constant id="794E7FEC14A44ED99D1DACEE0E804BA6"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/OR&gt;&lt;/AND&gt;&lt;/CONDITION&gt;&lt;CONSEQUENCE&gt;&lt;EQ&gt;&lt;variable id="D9DB024B9D7B4D91BA9A0636ED55B86D"&gt;&lt;/variable&gt;&lt;named-constant id="AF3103163AF5434AA9901ED6DE21876B"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/CONSEQUENCE&gt;&lt;/IMPLICATION&gt;&lt;/expression&gt;	53F3A173347E4631B71DD06BFCD38627			
0507AA99D91446EE9BD33C6EA1A1AFED	Road Bike Pedal	&lt;expression&gt;&lt;IMPLICATION&gt;&lt;CONDITION&gt;&lt;EQ&gt;&lt;variable id="53005649877549C0BAEC58960AA0FAF8"&gt;&lt;/variable&gt;&lt;named-constant id="6D433897A17E44408D6CE1AED0396EDF"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/CONDITION&gt;&lt;CONSEQUENCE&gt;&lt;EQ&gt;&lt;variable id="F80A41BC231846A5BE8D9A085048A769"&gt;&lt;/variable&gt;&lt;named-constant id="AB98C4832A2444C7A55BCBA4C05E9B06"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/CONSEQUENCE&gt;&lt;/IMPLICATION&gt;&lt;/expression&gt;	D4BA81DFFE434B36B25BD7987FD2D88F			
0B4CBB8E0F654D2B938EDD09DA73DF2E	Road Bike Medium Frame	&lt;expression&gt;&lt;IMPLICATION&gt;&lt;CONDITION&gt;&lt;AND&gt;&lt;EQ&gt;&lt;variable id="53005649877549C0BAEC58960AA0FAF8"&gt;&lt;/variable&gt;&lt;named-constant id="6D433897A17E44408D6CE1AED0396EDF"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="00C7C877F0E945EE817314F8712AA7E4"&gt;&lt;/variable&gt;&lt;named-constant id="E1CCB25E1E0F48FDA603A990A5038A5E"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/AND&gt;&lt;/CONDITION&gt;&lt;CONSEQUENCE&gt;&lt;EQ&gt;&lt;variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"&gt;&lt;/variable&gt;&lt;named-constant id="2D4ADBD9709C467F8AD29CD359279FAB"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/CONSEQUENCE&gt;&lt;/IMPLICATION&gt;&lt;/expression&gt;	0D7483BFDFF04295A7791AE49ED09B78			
1043107B8C72458A88696AE7F52E8FE5	Road Bike Brakes	&lt;expression&gt;&lt;IMPLICATION&gt;&lt;CONDITION&gt;&lt;EQ&gt;&lt;variable id="53005649877549C0BAEC58960AA0FAF8"&gt;&lt;/variable&gt;&lt;named-constant id="6D433897A17E44408D6CE1AED0396EDF"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/CONDITION&gt;&lt;CONSEQUENCE&gt;&lt;AND&gt;&lt;EQ&gt;&lt;variable id="8ACC8129718F487EAAA2ADDB15408CFB"&gt;&lt;/variable&gt;&lt;named-constant id="2E87E7944B1D42C09862285354CBF12F"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="BCFEACD2D00D4E6C8560B20BE2E34D34"&gt;&lt;/variable&gt;&lt;named-constant id="848C6DE78E3A4F92BB2006E7F5F07192"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/AND&gt;&lt;/CONSEQUENCE&gt;&lt;/IMPLICATION&gt;&lt;/expression&gt;	1BC64B0F12A9472481A3FE9F51BC4EB6			
15B4877C17854B6BB10E52584F9236E3	Mtn/Fat Bike X-Large Frame	&lt;expression&gt;&lt;IMPLICATION&gt;&lt;CONDITION&gt;&lt;AND&gt;&lt;OR&gt;&lt;EQ&gt;&lt;variable id="53005649877549C0BAEC58960AA0FAF8"&gt;&lt;/variable&gt;&lt;named-constant id="2EEB8648D04C4D85A95F46D65B36BE5F"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="53005649877549C0BAEC58960AA0FAF8"&gt;&lt;/variable&gt;&lt;named-constant id="BB931A8CE66D4757B52A98B47EFAC364"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/OR&gt;&lt;EQ&gt;&lt;variable id="00C7C877F0E945EE817314F8712AA7E4"&gt;&lt;/variable&gt;&lt;named-constant id="F12FBDB21FCD4D3CAB1C66417DAA9E86"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/AND&gt;&lt;/CONDITION&gt;&lt;CONSEQUENCE&gt;&lt;EQ&gt;&lt;variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"&gt;&lt;/variable&gt;&lt;named-constant id="F7074143B2E14E85ABB1A9EE5B651F6E"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/CONSEQUENCE&gt;&lt;/IMPLICATION&gt;&lt;/expression&gt;	0D7483BFDFF04295A7791AE49ED09B78			
15C43218B133463BA82569B63FBD49EF	Road Bike Frame Colors	&lt;expression&gt;&lt;IMPLICATION&gt;&lt;CONDITION&gt;&lt;EQ&gt;&lt;variable id="53005649877549C0BAEC58960AA0FAF8"&gt;&lt;/variable&gt;&lt;named-constant id="6D433897A17E44408D6CE1AED0396EDF"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/CONDITION&gt;&lt;CONSEQUENCE&gt;&lt;OR&gt;&lt;EQ&gt;&lt;variable id="8908A56668DE4A9E8EA31389ACDD73C7"&gt;&lt;/variable&gt;&lt;named-constant id="A9A5A06642F3434B8C8BA0006EAC7E19"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="8908A56668DE4A9E8EA31389ACDD73C7"&gt;&lt;/variable&gt;&lt;named-constant id="E463F90850B54BA28546E061ACB0683A"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="8908A56668DE4A9E8EA31389ACDD73C7"&gt;&lt;/variable&gt;&lt;named-constant id="24D89FDD6AEF4F5D8E48FED4DBCC77D5"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="8908A56668DE4A9E8EA31389ACDD73C7"&gt;&lt;/variable&gt;&lt;named-constant id="C4CF804DFF03421F97362CD4A592F7E4"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="8908A56668DE4A9E8EA31389ACDD73C7"&gt;&lt;/variable&gt;&lt;named-constant id="87F9EB4D28904C1CB17A86A39AE66835"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="8908A56668DE4A9E8EA31389ACDD73C7"&gt;&lt;/variable&gt;&lt;named-constant id="CEC3D9D7CDF14EB59A9060339F623878"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/OR&gt;&lt;/CONSEQUENCE&gt;&lt;/IMPLICATION&gt;&lt;/expression&gt;	0D7483BFDFF04295A7791AE49ED09B78			
1CCC801B923F40788CFE24169312AEB4	Mountain Bike Bottom Bracket	&lt;expression&gt;&lt;IMPLICATION&gt;&lt;CONDITION&gt;&lt;EQ&gt;&lt;variable id="53005649877549C0BAEC58960AA0FAF8"&gt;&lt;/variable&gt;&lt;named-constant id="2EEB8648D04C4D85A95F46D65B36BE5F"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/CONDITION&gt;&lt;CONSEQUENCE&gt;&lt;AND&gt;&lt;EQ&gt;&lt;variable id="A21583C25A2140B8AFEA05CCAC47FF7C"&gt;&lt;/variable&gt;&lt;named-constant id="82FE7F47E39F4628A2DB8F2C53AAB3AD"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="835C3DE1411B459AB975C9ABF2F46739"&gt;&lt;/variable&gt;&lt;named-constant id="88CD6559FF5E48A4BC2D02D80A8204D0"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/AND&gt;&lt;/CONSEQUENCE&gt;&lt;/IMPLICATION&gt;&lt;/expression&gt;	39FC0A35469A4ED2BD3415041D47AFEA			
1D345EB4F3AB4A9C8579010087477074	Fat Bike Seat	&lt;expression&gt;&lt;IMPLICATION&gt;&lt;CONDITION&gt;&lt;EQ&gt;&lt;variable id="53005649877549C0BAEC58960AA0FAF8"&gt;&lt;/variable&gt;&lt;named-constant id="BB931A8CE66D4757B52A98B47EFAC364"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/CONDITION&gt;&lt;CONSEQUENCE&gt;&lt;AND&gt;&lt;EQ&gt;&lt;variable id="785B653D5FCB4EFAA22233667DFADB61"&gt;&lt;/variable&gt;&lt;named-constant id="E8CC4C9A1F8D401183D6B64B4F94177C"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="EAD8CFDF9E794159AEEE3702498FFBFE"&gt;&lt;/variable&gt;&lt;named-constant id="C545A3F992FC49DD889993240F2A2AE9"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="F35D72593E9646A4B7C4DAA0A03283F8"&gt;&lt;/variable&gt;&lt;named-constant id="A31A5022A60746CDAD154E583C5EEBDC"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/AND&gt;&lt;/CONSEQUENCE&gt;&lt;/IMPLICATION&gt;&lt;/expression&gt;	029AFC2B634246F7A7F1D33EEB45945F			
1DD744BD65714F8481D4065D0CF5C6BA	Road Bike Small Frame	&lt;expression&gt;&lt;IMPLICATION&gt;&lt;CONDITION&gt;&lt;AND&gt;&lt;EQ&gt;&lt;variable id="53005649877549C0BAEC58960AA0FAF8"&gt;&lt;/variable&gt;&lt;named-constant id="6D433897A17E44408D6CE1AED0396EDF"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;EQ&gt;&lt;variable id="00C7C877F0E945EE817314F8712AA7E4"&gt;&lt;/variable&gt;&lt;named-constant id="CC195BCDCA914E9280EB6DEE8413C65A"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/AND&gt;&lt;/CONDITION&gt;&lt;CONSEQUENCE&gt;&lt;EQ&gt;&lt;variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"&gt;&lt;/variable&gt;&lt;named-constant id="5D5CF2A579A843798A7C77610C52FAA7"&gt;&lt;/named-constant&gt;&lt;/EQ&gt;&lt;/CONSEQUENCE&gt;&lt;/IMPLICATION&gt;&lt;/expression&gt;	0D7483BFDFF04295A7791AE49ED09B78			
