id	item_number	name
332AFD2764144C189BB94E71E4854160	C020	Brake Lever
35120B40852242C0ADA01350AC695F61	C018	Rear Shocks
352F37D8065E44E2817EBCFF3045F6B2	C026	Fork
608F14DFCB8E4FB1884BE868A7C5889C	C001	Rear Derailleur
663AD4BD579D44C98069C30E5C3E107D	C021	Saddle
73AF16B2911F428BBDE98D3D5CC7F8AC	C025	Chain
76B41E957F354D6593F81E35F2F6B63D	C010	Wheelset
8F5825AD11564B389A96257C3B7CE6BF	C017	Stem
94D50193323E42D2B0DE98CDF33A3D98	C015	Rear Cassette
985B163DA26C49279614090E62A0026B	C004	Frame
9C095BC00B0C43FA9763F8CB44FAA6A8	C009	Bottom Bracket
A00AE6FFD3C045669F9EC64C1C2EF8D8	C013	Handlebar
B3546AE2E65A488BBDCDCCC44D6F2302	C006	Crankset
BC6AD45B8D0846D28E3C7A7C6FBAC2E4	C023	Shifter
C5BAC8F2128049EE891195EB67BD6AD0	C008	Seatpost
CC55BC8BA0CF4CDC9BC69AD3FC7BEA27	C019	Brake
F8D979F16AC94DCE908926B5C2E63FDB	C005	Tire
FA0C47A9E42346738CD94DE5BB86DF55	C022	Pedals
