id	source_id	definition	string_notation
0051855FCE234693951352BE1937D3F2	E2FE91575A15467AACAE25FBA7D13A91	<expression><EQ><variable id="AB33ADB780C04772B27FFB197021CDFD"></variable><named-constant id="0E53DE3ADA99459E889C820D4FC55CC8"></named-constant></EQ></expression>	[Cogs Combinations] = [11-42]
0069F39CCA5240609D2E92C2087D7E57	CCCA48A0FF4A4466A7932957A3724383	<expression><AND><EQ><variable id="8908A56668DE4A9E8EA31389ACDD73C7"></variable><named-constant id="CEC3D9D7CDF14EB59A9060339F623878"></named-constant></EQ><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="84EE381695124933A79919386A6F3972"></named-constant></EQ><EQ><variable id="69DA5886930344E2A684F270C0BB21B9"></variable><named-constant id="A5874874453E48549A629879E62EC2EE"></named-constant></EQ></AND></expression>	[Frame Color] = [Glossy Black] AND [Frame Size] = 42cm AND [Frame Material] = [Aluminum Alloy]
025EE3BF1A7C44269EBC031D44AF5F2E	3F95D77E622747C9904DD0E3F62B27DB	<expression><AND><EQ><variable id="8908A56668DE4A9E8EA31389ACDD73C7"></variable><named-constant id="24D89FDD6AEF4F5D8E48FED4DBCC77D5"></named-constant></EQ><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="5D5CF2A579A843798A7C77610C52FAA7"></named-constant></EQ><EQ><variable id="69DA5886930344E2A684F270C0BB21B9"></variable><named-constant id="1B94DC41EDC24A36811DF11E54C8AE21"></named-constant></EQ></AND></expression>	[Frame Color] = Silver AND [Frame Size] = [46.5cm] AND [Frame Material] = [Carbon Fiber]
040E76EEBC894D1687CA318D5B567BD5	3D7A56E4CCCE4A4BB91DC81ED5E48888	<expression><AND><EQ><variable id="8908A56668DE4A9E8EA31389ACDD73C7"></variable><named-constant id="C4CF804DFF03421F97362CD4A592F7E4"></named-constant></EQ><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="C0369CAE69DB46AFAFA73B6B1ECC102D"></named-constant></EQ><EQ><variable id="69DA5886930344E2A684F270C0BB21B9"></variable><named-constant id="A5874874453E48549A629879E62EC2EE"></named-constant></EQ></AND></expression>	[Frame Color] = [Matte Black] AND [Frame Size] = [55.5cm] AND [Frame Material] = [Aluminum Alloy]
043121063B93487F96AEB320EF4AE64E	A5A843395A394D77A4D9776E8A1A0903	<expression><AND><EQ><variable id="8908A56668DE4A9E8EA31389ACDD73C7"></variable><named-constant id="A9A5A06642F3434B8C8BA0006EAC7E19"></named-constant></EQ><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="84EE381695124933A79919386A6F3972"></named-constant></EQ><EQ><variable id="69DA5886930344E2A684F270C0BB21B9"></variable><named-constant id="1B94DC41EDC24A36811DF11E54C8AE21"></named-constant></EQ></AND></expression>	[Frame Color] = Red AND [Frame Size] = 42cm AND [Frame Material] = [Carbon Fiber]
061BA9D0D46E4B82A3FC60F74DE2E069	D80E4D4C204645DAA4DCF9C5D1466864	<expression><EQ><variable id="D5106EFD56AE4CC1B6DE9EC9879DDC9B"></variable><named-constant id="DAEEF56B9586453D9B4176093D7D3F0B"></named-constant></EQ></expression>	Speed = [10-Speed]
070042BE81A6470E8F0B1A86D274E869	E622F4DDEF8B4747A78E10057EB79C12	<expression><AND><EQ><variable id="8908A56668DE4A9E8EA31389ACDD73C7"></variable><named-constant id="87F9EB4D28904C1CB17A86A39AE66835"></named-constant></EQ><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="2D4ADBD9709C467F8AD29CD359279FAB"></named-constant></EQ><EQ><variable id="69DA5886930344E2A684F270C0BB21B9"></variable><named-constant id="1B94DC41EDC24A36811DF11E54C8AE21"></named-constant></EQ></AND></expression>	[Frame Color] = [Black/Yellow] AND [Frame Size] = 50cm AND [Frame Material] = [Carbon Fiber]
07FD83F470804B83863F3FE76975B181	3CE61C87672A402C9D5ED53F47F73907	<expression><AND><EQ><variable id="8908A56668DE4A9E8EA31389ACDD73C7"></variable><named-constant id="CEC3D9D7CDF14EB59A9060339F623878"></named-constant></EQ><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="0ED4F9F6B72C4DC1931B92135F5E17A6"></named-constant></EQ><EQ><variable id="69DA5886930344E2A684F270C0BB21B9"></variable><named-constant id="1B94DC41EDC24A36811DF11E54C8AE21"></named-constant></EQ></AND></expression>	[Frame Color] = [Glossy Black] AND [Frame Size] = [21 inches] AND [Frame Material] = [Carbon Fiber]
0A0C8158B1B84B3290847EE169FFAFE0	FE1214A01A5C4650BF1796898AB5EE12	<expression><AND><EQ><variable id="8908A56668DE4A9E8EA31389ACDD73C7"></variable><named-constant id="E463F90850B54BA28546E061ACB0683A"></named-constant></EQ><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="5D5CF2A579A843798A7C77610C52FAA7"></named-constant></EQ><EQ><variable id="69DA5886930344E2A684F270C0BB21B9"></variable><named-constant id="A5874874453E48549A629879E62EC2EE"></named-constant></EQ></AND></expression>	[Frame Color] = Orange AND [Frame Size] = [46.5cm] AND [Frame Material] = [Aluminum Alloy]
0B07FB7CD25249958000DF49B047C9F1	29F9F54571804DEF92C6FA7E718ABE9D	<expression><AND><EQ><variable id="D9DA735CE7B54AA79A71646334CD3D48"></variable><named-constant id="DB31633D73804BC2A15ACCD521B5D084"></named-constant></EQ><EQ><variable id="B253CC97FEFF45F6B5E086FBB323AB53"></variable><named-constant id="A5D9F1EB9A1D4B9A956A02DDAE7652EA"></named-constant></EQ><EQ><variable id="137AB4D5A3884BEF9751738E9D6E6B6A"></variable><named-constant id="31256E112BC44C89A77D4A588234CAA0"></named-constant></EQ></AND></expression>	[Crankarm Length] = 170mm AND [Crankset Material] = [Aluminum Alloy] AND [Chainring Setup] = Triple
