id	item_number	name
053AA15D14BE4F32BD0872FDBEBFAB73	B022	Pedals
05D0CE8FE8F1462CBE6DE80121105C51	B018	Rear Shocks
08E47490E337469A87374589C6CE01D2	B001	Rear Derailleur
0985F6629E7B43F1A1A8D4601F926016	B023	Shifter
0EADA0753AB34DEFBA1D1422606B4F0D	B005	Tire
27D2F219124C4FA69CAE2422F239A149	B011	Handlebar Assembly
28AB7195756C474C8A1E7D6E40DFE766	B025	Chain
35FDD35827124BF08E41067A3D3E3215	B002	Seat Assembly
442D5AA6CE184504AB8BC526A22C6766	B024	Control
4FA83512789340D7A4AFD5498DCED35A	B007	Brake Assembly
63E2458207C740C29B1CFA1E41986545	B017	Stem
89DB399AB7DE4D8FA54D49FBD8B78115	B003	Wheel System
8EC4BF453F8E49698E70BDEA3A333965	B006	Crankset
903A1EE375C04A0DB627B7DDA95F479E	B020	Brake Lever
91F7DC7FFBB3487E8767696037E484AC	B004	Frame
9FE3FD02A42E4B38857FBFB0FBF1CA3C	B008	Seatpost
AAEE1577F4FC47F7AB848599ECD57100	B012	Bicycle
AB36C67F7F70476197CB2B14757A98E2	B009	Bottom Bracket
AE15B02F99FE4AAFB487E3D48DE56D4F	B027	Manuals and Spare Parts
AF412FCDEE61442CBF63A6DE59189581	B021	Saddle
B0487465D16849DC95932869BFA1F8A6	B014	Frame Assembly
B08036EC6D20424B89686E9BE7610FE8	B026	Fork
B297ABF0D16C486E950E4ECB53133A4B	B016	Transmission
C786EA73244748DBA3ADF0DBEE457394	B013	Handlebar
E95A1AC297FD440EA58526C6384D4656	B019	Brake
F9C918DB46CA4D75A96AD73A2D86C10A	B010	Wheelset
F9DEF33A5CC542DFB5941611D1280C98	B015	Rear Cassette
